drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
toloxatone,ritodrine,The risk or severity of adverse effects can be increased when Toloxatone is combined with Ritodrine.,1,100,192,102
aminophenazone,crizotinib,The metabolism of Crizotinib can be decreased when combined with Aminophenazone.,1,80,179,481
butylscopolamine,hydromorphone,The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Hydromorphone.,1,110,67,147
clarithromycin,ifosfamide,The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Clarithromycin resulting in a loss in efficacy.,1,170,127,123
vernakalant,abiraterone,The serum concentration of Abiraterone can be increased when it is combined with Vernakalant.,1,93,111,481
procaine,tasimelteon,The risk or severity of adverse effects can be increased when Procaine is combined with Tasimelteon.,1,100,189,278
buprenorphine,colistin,no interaction known or reported,0,32,466,30
oxybuprocaine,maprotiline,The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Maprotiline.,1,105,180,328
rifabutin,albendazole,The metabolism of Albendazole can be increased when combined with Rifabutin.,1,76,654,62
guanfacine,palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Guanfacine.,1,92,275,533
pipecuronium,nabilone,Pipecuronium may increase the tachycardic activities of Nabilone.,1,65,113,349
nevirapine,pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Nevirapine.,1,79,579,242
pentobarbital,hydralazine,Pentobarbital may increase the hypotensive activities of Hydralazine.,1,69,841,219
etoricoxib,fleroxacin,Etoricoxib may increase the neuroexcitatory activities of Fleroxacin.,1,69,300,199
dapagliflozin,testosterone,Dapagliflozin may increase the hypoglycemic activities of Testosterone.,1,71,213,151
lithium cation,ethylmorphine,The risk or severity of adverse effects can be increased when Lithium cation is combined with Ethylmorphine.,1,108,307,218
abemaciclib,cefepime,no interaction known or reported,0,32,74,36
celecoxib,digoxin,no interaction known or reported,0,32,284,304
acenocoumarol,mexiletine,The metabolism of Mexiletine can be decreased when combined with Acenocoumarol.,1,79,425,198
pseudoephedrine,fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Pseudoephedrine.,1,82,265,727
acetaminophen,diphenhydramine,The metabolism of Diphenhydramine can be decreased when combined with Acetaminophen.,1,84,182,304
spiramycin,dienogest,no interaction known or reported,0,32,109,96
epinephrine,tedizolid phosphate,Epinephrine may increase the hypertensive activities of Tedizolid phosphate.,1,76,170,115
dexbrompheniramine,ramelteon,The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Ramelteon.,1,108,119,248
mianserin,dihydroergotamine,no interaction known or reported,0,32,218,528
oxymorphone,nitrous oxide,The risk or severity of adverse effects can be increased when Oxymorphone is combined with Nitrous oxide.,1,105,368,121
tolvaptan,lurasidone,The serum concentration of Lurasidone can be increased when it is combined with Tolvaptan.,1,90,274,199
dofetilide,salbutamol,Dofetilide may increase the QTc-prolonging activities of Salbutamol.,1,68,273,170
trifluoperazine,vilazodone,The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Vilazodone.,1,106,325,62
bendroflumethiazide,prazosin,The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Prazosin.,1,108,246,171
raloxifene,ziprasidone,The metabolism of Ziprasidone can be decreased when combined with Raloxifene.,1,77,98,535
dihydrocodeine,eliglustat,The metabolism of Eliglustat can be decreased when combined with Dihydrocodeine.,1,80,364,210
diclofenac,clonixin,The risk or severity of adverse effects can be increased when Diclofenac is combined with Clonixin.,1,99,339,203
moxonidine,eprosartan,Moxonidine may increase the hypotensive activities of Eprosartan.,1,65,195,169
dexchlorpheniramine maleate,clarithromycin,The metabolism of Clarithromycin can be decreased when combined with Dexchlorpheniramine maleate.,1,97,135,616
bopindolol,naproxen,Bopindolol may decrease the antihypertensive activities of Naproxen.,1,68,161,179
rifabutin,palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Rifabutin.,1,91,654,533
flunitrazepam,fluvastatin,The metabolism of Fluvastatin can be decreased when combined with Flunitrazepam.,1,80,266,251
aceprometazine,fospropofol,The risk or severity of adverse effects can be increased when Aceprometazine is combined with Fospropofol.,1,106,209,185
floctafenine,difluprednate,The risk or severity of adverse effects can be increased when Floctafenine is combined with Difluprednate.,1,106,208,142
disopyramide,canagliflozin,Disopyramide may increase the hypoglycemic activities of Canagliflozin.,1,71,295,296
dabigatran etexilate,etofenamate,Dabigatran etexilate may increase the anticoagulant activities of Etofenamate.,1,78,176,197
secobarbital,phenprocoumon,The metabolism of Phenprocoumon can be increased when combined with Secobarbital.,1,81,604,77
dronedarone,trandolapril,no interaction known or reported,0,32,210,194
ramipril,zaltoprofen,The risk or severity of adverse effects can be increased when Ramipril is combined with Zaltoprofen.,1,100,262,203
clonidine,iloperidone,The risk or severity of adverse effects can be increased when Clonidine is combined with Iloperidone.,1,101,338,336
"sodium phosphate, monobasic",moexipril,"Sodium phosphate, monobasic may increase the nephrotoxic activities of Moexipril.",1,81,113,285
dinoprostone,deferasirox,The serum concentration of Deferasirox can be increased when it is combined with Dinoprostone.,1,94,53,201
selegiline,aliskiren,Selegiline may increase the hypotensive activities of Aliskiren.,1,64,423,249
lovastatin,cilastatin,The serum concentration of Cilastatin can be increased when it is combined with Lovastatin.,1,91,170,73
sulfisoxazole,clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Sulfisoxazole.,1,81,166,691
caffeine,luliconazole,The serum concentration of Luliconazole can be increased when it is combined with Caffeine.,1,91,165,566
viomycin,pimavanserin,no interaction known or reported,0,32,24,25
dexamethasone,telaprevir,The serum concentration of Telaprevir can be decreased when it is combined with Dexamethasone.,1,94,213,546
thalidomide,methylphenobarbital,Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Methylphenobarbital.,1,114,473,153
pseudoephedrine,nevirapine,The metabolism of Nevirapine can be decreased when combined with Pseudoephedrine.,1,81,265,181
vismodegib,moricizine,no interaction known or reported,0,32,123,34
technetium tc-99m mebrofenin,alendronic acid,no interaction known or reported,0,32,30,133
cilnidipine,indapamide,The risk or severity of adverse effects can be increased when Cilnidipine is combined with Indapamide.,1,102,203,445
perphenazine,butamben,The risk or severity of adverse effects can be increased when Perphenazine is combined with Butamben.,1,101,411,191
dapagliflozin,tranylcypromine,Dapagliflozin may increase the hypoglycemic activities of Tranylcypromine.,1,74,213,429
paraldehyde,olopatadine,Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Olopatadine.,1,106,296,390
pioglitazone,stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Pioglitazone.,1,94,191,776
quinapril,acetylsalicylic acid,Quinapril may decrease the antihypertensive activities of Acetylsalicylic acid.,1,79,217,231
valsartan,tolbutamide,The metabolism of Tolbutamide can be decreased when combined with Valsartan.,1,76,254,304
apraclonidine,flumethasone,no interaction known or reported,0,32,92,136
ibutilide,risperidone,Ibutilide may increase the QTc-prolonging activities of Risperidone.,1,68,193,335
spironolactone,olodaterol,Spironolactone may decrease the vasoconstricting activities of Olodaterol.,1,74,238,174
ubidecarenone,chloramphenicol,The serum concentration of Chloramphenicol can be increased when it is combined with Ubidecarenone.,1,99,302,210
timolol,cinacalcet,The metabolism of Cinacalcet can be decreased when combined with Timolol.,1,73,342,263
ketobemidone,dihydroergotamine,The metabolism of Dihydroergotamine can be decreased when combined with Ketobemidone.,1,85,298,528
bosentan,clobazam,The serum concentration of Clobazam can be decreased when it is combined with Bosentan.,1,87,644,367
dexchlorpheniramine maleate,artemether,The metabolism of Artemether can be decreased when combined with Dexchlorpheniramine maleate.,1,93,135,257
perindopril,zaltoprofen,The risk or severity of adverse effects can be increased when Perindopril is combined with Zaltoprofen.,1,103,217,203
ulipristal,gestodene,The therapeutic efficacy of Gestodene can be decreased when used in combination with Ulipristal.,1,96,117,88
oxymorphone,ketamine,The risk or severity of adverse effects can be increased when Oxymorphone is combined with Ketamine.,1,100,368,134
zolpidem,doxycycline,The metabolism of Doxycycline can be decreased when combined with Zolpidem.,1,75,443,584
suramin,levomefolic acid,no interaction known or reported,0,32,33,27
brinzolamide,diclofenamide,The risk or severity of adverse effects can be increased when Brinzolamide is combined with Diclofenamide.,1,106,91,202
lorazepam,tapentadol,Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Tapentadol.,1,103,291,352
nicergoline,metoprolol,The metabolism of Metoprolol can be decreased when combined with Nicergoline.,1,77,303,281
levosimendan,sufentanil,The risk or severity of adverse effects can be increased when Levosimendan is combined with Sufentanil.,1,103,148,207
halothane,clopidogrel,The metabolism of Clopidogrel can be decreased when combined with Halothane.,1,76,402,218
lopinavir,simeprevir,The serum concentration of Simeprevir can be increased when it is combined with Lopinavir.,1,90,178,600
alfuzosin,amlodipine,Alfuzosin may increase the hypotensive activities of Amlodipine.,1,64,278,236
imatinib,acetaminophen,Imatinib may increase the hepatotoxic activities of Acetaminophen.,1,66,148,105
tizanidine,papaverine,The risk or severity of adverse effects can be increased when Tizanidine is combined with Papaverine.,1,101,269,173
cobimetinib,desmopressin,no interaction known or reported,0,32,92,161
amodiaquine,suramin,The serum concentration of Suramin can be decreased when it is combined with Amodiaquine.,1,89,167,45
orciprenaline,trifluoperazine,no interaction known or reported,0,32,84,148
alprazolam,halothane,The risk or severity of adverse effects can be increased when Alprazolam is combined with Halothane.,1,100,397,185
chlordiazepoxide,fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Chlordiazepoxide.,1,83,345,727
clobetasone,itraconazole,The serum concentration of Itraconazole can be increased when it is combined with Clobetasone.,1,94,120,600
iodide i-131,cangrelor,no interaction known or reported,0,32,20,45
ioxilan,carmustine,no interaction known or reported,0,32,34,36
procarbazine,methotrimeprazine,The risk or severity of adverse effects can be increased when Procarbazine is combined with Methotrimeprazine.,1,110,265,230
ropivacaine,erythromycin,The metabolism of Erythromycin can be decreased when combined with Ropivacaine.,1,79,398,532
imatinib,tofacitinib,Imatinib may increase the immunosuppressive activities of Tofacitinib.,1,70,148,144
